K,interaction_mode,timing_mode,final_mean,final_variance,final_std,time_to_stability,stable,count_state_0,count_state_1,count_state_2,count_state_3,replicate,count_state_4,count_state_5,count_state_6,count_state_7,count_state_8,count_state_9
5,dyadic,synchronous,2.3,0.29,0.5385164807134504,30.0,True,0,6,130,62,17,2.0,0.0,,,,
5,dyadic,synchronous,2.385,0.7467750000000001,0.8641614432500446,20.0,True,0,35,67,86,18,10.0,2.0,,,,
5,dyadic,synchronous,2.45,0.2475,0.49749371855331,34.0,True,0,0,110,90,19,0.0,0.0,,,,
5,dyadic,synchronous,2.725,0.5993749999999999,0.774193128360101,27.0,True,0,10,65,95,20,30.0,0.0,,,,
5,dyadic,synchronous,2.56,0.6664,0.816333265278342,32.0,True,1,21,61,99,21,18.0,0.0,,,,
5,dyadic,synchronous,2.035,1.193775,1.0926001098297584,24.0,True,15,56,51,63,22,15.0,0.0,,,,
5,dyadic,synchronous,2.04,0.46839999999999987,0.6843975452907468,41.0,True,0,43,106,51,23,0.0,0.0,,,,
5,dyadic,synchronous,2.565,0.4857750000000001,0.6969756093293367,25.0,True,0,8,87,89,24,16.0,0.0,,,,
5,dyadic,synchronous,2.17,0.4711,0.6863672486358888,60.0,True,0,30,108,61,25,0.0,1.0,,,,
5,dyadic,synchronous,2.575,0.42437500000000006,0.6514407110397692,34.0,True,1,4,84,102,26,8.0,1.0,,,,
5,dyadic,synchronous,2.515,0.7997749999999999,0.8943014033311141,15.0,True,2,23,67,90,27,14.0,4.0,,,,
5,dyadic,synchronous,2.395,0.5589749999999999,0.747646306752063,10.0,True,0,21,90,78,28,11.0,0.0,,,,
5,dyadic,synchronous,2.59,0.4819,0.6941901756723441,35.0,True,0,10,76,100,29,14.0,0.0,,,,
7,dyadic,synchronous,3.11,1.0079,1.003942229413625,25.0,True,2,4,54,63,0,64.0,13.0,0.0,0.0,,
7,dyadic,synchronous,2.97,0.5390999999999999,0.734234295031225,29.0,True,0,0,50,113,1,30.0,7.0,0.0,0.0,,
7,dyadic,synchronous,3.89,0.7379000000000001,0.85901105930017,23.0,True,0,0,4,58,2,106.0,24.0,4.0,4.0,,
7,dyadic,synchronous,3.38,0.8456,0.9195651146058119,38.0,True,0,17,3,74,3,99.0,7.0,0.0,0.0,,
7,dyadic,synchronous,3.445,0.7069749999999999,0.8408180540402305,33.0,True,0,1,19,94,4,62.0,24.0,0.0,0.0,,
7,dyadic,synchronous,3.62,0.6255999999999999,0.7909487973314075,23.0,True,0,0,4,97,5,76.0,17.0,6.0,0.0,,
7,dyadic,synchronous,3.625,0.674375,0.8212033852828421,23.0,True,0,0,12,83,6,73.0,32.0,0.0,0.0,,
7,dyadic,synchronous,3.575,0.3243750000000001,0.5695392874947259,68.0,True,0,0,8,69,7,123.0,0.0,0.0,0.0,,
7,dyadic,synchronous,3.29,0.35590000000000005,0.5965735495309862,51.0,True,0,0,15,112,8,73.0,0.0,0.0,0.0,,
7,dyadic,synchronous,3.58,0.2736,0.5230678732248808,51.0,True,0,0,0,87,9,110.0,3.0,0.0,0.0,,
7,dyadic,synchronous,3.55,1.4775,1.2155245781143218,17.0,True,0,11,28,54,10,63.0,35.0,9.0,0.0,,
7,dyadic,synchronous,3.385,0.426775,0.653280184913028,26.0,True,0,0,13,100,11,86.0,0.0,0.0,1.0,,
7,dyadic,synchronous,3.465,1.448775,1.2036506968385803,10.0,True,0,8,36,55,12,70.0,21.0,7.0,3.0,,
7,dyadic,synchronous,3.295,0.8779750000000002,0.9370032017021074,20.0,True,0,10,10,113,13,50.0,12.0,5.0,0.0,,
7,dyadic,synchronous,3.7,0.24,0.4898979485566356,46.0,True,0,0,3,54,14,143.0,0.0,0.0,0.0,,
7,dyadic,synchronous,3.11,0.7879,0.887637313321156,38.0,True,0,0,52,91,15,40.0,17.0,0.0,0.0,,
7,dyadic,synchronous,3.4,0.3600000000000001,0.6000000000000001,35.0,True,0,0,9,105,16,83.0,3.0,0.0,0.0,,
7,dyadic,synchronous,3.52,1.1096,1.0533755265810953,24.0,True,0,3,29,74,17,52.0,39.0,3.0,0.0,,
7,dyadic,synchronous,3.26,0.28239999999999993,0.5314132102234569,63.0,True,0,0,9,130,18,61.0,0.0,0.0,0.0,,
7,dyadic,synchronous,3.74,0.9124000000000001,0.9551963149007643,39.0,True,0,0,8,93,19,49.0,43.0,7.0,0.0,,
7,dyadic,synchronous,3.4,0.95,0.9746794344808963,13.0,True,3,5,16,81,20,77.0,16.0,2.0,0.0,,
